6332 0.0145781
0.73962 0.506841 0.392078
0.753615 0.516259 0.397158
0.769368 0.513618 0.393823
0.786142 0.513406 0.394711
0.800841 0.510372 0.396764
0.211475 0.527701 0.386529
0.216747 0.523898 0.398591
0.246326 0.528273 0.388985
0.253027 0.526067 0.389802
0.281773 0.527212 0.395489
0.292673 0.522942 0.389575
0.31496 0.532237 0.387564
0.327806 0.527403 0.394248
0.339065 0.522636 0.384844
0.359072 0.525478 0.395995
0.370708 0.520361 0.399463
0.397096 0.522594 0.393032
0.591552 0.516821 0.397993
0.610325 0.528623 0.390855
0.621223 0.528348 0.389728
0.64652 0.516741 0.388238
0.657891 0.52696 0.395278
0.674974 0.516971 0.389237
0.697901 0.517274 0.386616
0.715742 0.521025 0.399863
0.730218 0.531496 0.383739
0.749447 0.524521 0.383658
0.751705 0.523502 0.383435
0.781723 0.527618 0.389657
0.79191 0.518942 0.392437
0.215724 0.546751 0.399806
0.233044 0.539832 0.393587
0.247833 0.53526 0.388659
0.260845 0.547162 0.383651
0.275817 0.542603 0.390986
0.299722 0.540148 0.390994
0.304363 0.54374 0.398728
0.330236 0.542185 0.386686
0.339376 0.539111 0.397538
0.362188 0.542199 0.388608
0.382568 0.534741 0.389483
0.386668 0.546749 0.392901
0.609446 0.543436 0.387423
0.63266 0.545694 0.389199
0.640348 0.537743 0.392236
0.666289 0.536473 0.385309
0.666674 0.541837 0.39542
0.692655 0.548646 0.391184
0.708563 0.536623 0.397008
0.723738 0.536639 0.392135
0.737234 0.538581 0.396888
0.757061 0.537278 0.393329
0.775834 0.541926 0.39013
0.783997 0.533703 0.397594
0.20891 0.551492 0.398405
0.233468 0.557571 0.392761
0.264038 0.554964 0.3974
0.268316 0.557934 0.391918
0.291478 0.559695 0.391203
0.31288 0.566085 0.387485
0.333207 0.563545 0.38826
0.34324 0.552248 0.394915
0.353339 0.550977 0.392733
0.374245 0.566142 0.392324
0.649715 0.560592 0.388979
0.665095 0.561503 0.384146
0.670688 0.562172 0.389978
0.69879 0.561973 0.396825
0.713957 0.562234 0.387664
0.717851 0.554208 0.396714
0.740487 0.560969 0.388704
0.750785 0.56187 0.390581
0.780767 0.553475 0.397997
0.784563 0.561387 0.389823
0.23163 0.571069 0.398421
0.23777 0.567482 0.398605
0.254626 0.578908 0.391229
0.28303 0.571197 0.389624
0.284792 0.580497 0.396408
0.31163 0.575264 0.388214
0.320179 0.580798 0.385765
0.344254 0.580793 0.392933
0.357716 0.570372 0.399987
0.63884 0.572438 0.398983
0.653093 0.569232 0.385915
0.669025 0.571379 0.396937
0.694943 0.578148 0.389685
0.704967 0.575875 0.38535
0.720949 0.567132 0.397311
0.735265 0.566908 0.390637
0.763689 0.571455 0.399995
0.251456 0.587264 0.397933
0.271806 0.586448 0.388536
0.283562 0.598906 0.393104
0.313413 0.588794 0.384141
0.321991 0.585163 0.394868
0.343409 0.585435 0.386185
0.353325 0.586 0.387421
0.663371 0.585152 0.391573
0.670529 0.598235 0.394958
0.686088 0.598689 0.388393
0.715475 0.589797 0.391358
0.731667 0.594565 0.387604
0.737214 0.588212 0.393796
0.303667 0.61045 0.398662
0.730704 0.607438 0.399887
0.268951 0.382621 0.415384
0.324254 0.382728 0.411379
0.679711 0.378209 0.415424
0.710889 0.381703 0.415933
0.237534 0.398422 0.410415
0.279432 0.398722 0.401801
0.294228 0.395025 0.412451
0.316596 0.384033 0.411183
0.32876 0.390919 0.403112
0.336958 0.387494 0.407753
0.661618 0.394324 0.410547
0.677432 0.388497 0.403081
0.68578 0.389645 0.404119
0.709432 0.398954 0.416573
0.729086 0.388685 0.409721
0.73914 0.385697 0.416596
0.75034 0.398606 0.403693
0.227623 0.409645 0.403169
0.236747 0.416101 0.408672
0.2603 0.405867 0.412464
0.274297 0.403998 0.412073
0.289448 0.41305 0.411863
0.316172 0.414802 0.410113
0.331548 0.412026 0.41004
0.348092 0.407123 0.404671
0.35651 0.405792 0.406011
0.63493 0.407613 0.410077
0.659045 0.407134 0.403249
0.67838 0.41644 0.413823
0.686953 0.412317 0.411561
0.706969 0.401229 0.411639
0.716766 0.413006 0.409708
0.743456 0.411507 0.407602
0.756088 0.408048 0.402923
0.780505 0.414479 0.404997
0.220066 0.424555 0.411072
0.236633 0.431378 0.405263
0.263996 0.419632 0.416615
0.279073 0.428682 0.414341
0.294675 0.422745 0.409498
0.300303 0.41886 0.405317
0.32696 0.432684 0.403376
0.343066 0.425438 0.412073
0.366555 0.419951 0.401033
0.369577 0.432627 0.411913
0.620711 0.424714 0.415234
0.646459 0.419279 0.404961
0.654711 0.431264 0.402963
0.672641 0.429321 0.404065
0.691833 0.419862 0.40092
0.715732 0.422683 0.402481
0.72789 0.421711 0.412527
0.741507 0.424596 0.402717
0.760785 0.427651 0.412998
0.767648 0.422889 0.411319
0.209477 0.441549 0.412983
0.230893 0.439933 0.401543
0.244587 0.449626 0.412319
0.262177 0.436901 0.415558
0.278519 0.446434 0.401543
0.294337 0.442578 0.410531
0.311872 0.439782 0.412686
0.327368 0.448063 0.409398
0.346119 0.447926 0.404555
0.35084 0.435237 0.410555
0.371345 0.444199 0.409382
0.390263 0.437006 0.414119
0.61653 0.433622 0.415302
0.6312 0.438792 0.402632
0.6351 0.439184 0.411877
0.650985 0.4416 0.411176
0.678523 0.445546 0.404911
0.690656 0.444844 0.408051
0.713546 0.448946 0.40689
0.722474 0.44511 0.415983
0.742536 0.438635 0.400759
