9065 0.0145781
0.694077 0.502882 0.258177
0.409523 0.518917 0.260197
0.424671 0.521791 0.258934
0.439205 0.52734 0.252033
0.451626 0.526099 0.261902
0.481393 0.527913 0.26448
0.485681 0.517704 0.263578
0.516173 0.532138 0.262279
0.522333 0.531417 0.255591
0.533558 0.532239 0.264278
0.564308 0.5195 0.253072
0.582517 0.528124 0.26288
0.591757 0.517321 0.265555
0.609844 0.524638 0.252358
0.621809 0.524446 0.261247
0.647999 0.516644 0.258335
0.653527 0.520462 0.25482
0.673191 0.51581 0.252205
0.686718 0.521114 0.250784
0.701098 0.517486 0.255587
0.394727 0.533169 0.258711
0.411022 0.538121 0.251394
0.421834 0.54859 0.265853
0.433501 0.541229 0.260153
0.453764 0.548721 0.256072
0.472455 0.534489 0.264142
0.49313 0.54153 0.253764
0.50116 0.537244 0.25324
0.530853 0.53991 0.254461
0.541549 0.547408 0.263935
0.560644 0.537002 0.250449
0.579769 0.546803 0.262941
0.593609 0.545575 0.254449
0.607328 0.542524 0.252935
0.620129 0.537222 0.253524
0.643055 0.532486 0.260499
0.653654 0.539595 0.250683
0.671706 0.541716 0.256812
0.694363 0.536389 0.259959
0.707966 0.547345 0.264568
0.406526 0.563975 0.262358
0.421758 0.560094 0.255088
0.449772 0.563427 0.264257
0.464246 0.553976 0.260087
0.474076 0.563053 0.261958
0.489584 0.561092 0.26381
0.513629 0.562333 0.257884
0.526346 0.550753 0.258694
0.54573 0.556311 0.254514
0.557309 0.563629 0.265375
0.579294 0.560984 0.258014
0.583874 0.54995 0.255797
0.612235 0.551692 0.259967
0.616759 0.563968 0.253891
0.63629 0.554632 0.253499
0.663498 0.563851 0.266438
0.674958 0.552248 0.255661
0.687727 0.553604 0.261765
0.706702 0.556002 0.262433
0.399358 0.574565 0.253645
0.409249 0.571203 0.254482
0.424553 0.573872 0.26091
0.437097 0.573283 0.250622
0.45161 0.567553 0.261919
0.467391 0.580283 0.261314
0.484304 0.571213 0.265277
0.511321 0.567831 0.253144
0.517366 0.580664 0.258145
0.54873 0.572584 0.256095
0.556788 0.57924 0.264563
0.571142 0.570164 0.257646
0.592834 0.576899 0.252
0.611337 0.568768 0.262258
0.625535 0.573876 0.25881
0.638852 0.576279 0.254169
0.658153 0.580256 0.266457
0.677989 0.574001 0.26123
0.693065 0.57805 0.251032
0.388792 0.596339 0.265377
0.411781 0.598538 0.250036
0.417443 0.589671 0.25408
0.435962 0.596982 0.258386
0.463051 0.583646 0.258416
0.468948 0.588597 0.254416
0.489243 0.597361 0.260493
0.503299 0.592621 0.250613
0.5286 0.591473 0.254154
0.54407 0.598307 0.25335
0.550554 0.597808 0.260548
0.579059 0.592042 0.263693
0.583356 0.596696 0.25125
0.615073 0.587749 0.250022
0.622816 0.582996 0.260004
0.636004 0.594564 0.258465
0.654596 0.586435 0.251348
0.666944 0.589437 0.262368
0.68551 0.596206 0.253765
0.408828 0.610747 0.263169
0.431623 0.600684 0.263925
0.440987 0.61152 0.256633
0.464682 0.612091 0.253033
0.47697 0.604151 0.26625
0.491649 0.599515 0.265439
0.504066 0.611466 0.258153
0.523843 0.612211 0.260639
0.544656 0.614256 0.265456
0.556811 0.610463 0.264956
0.566994 0.601839 0.2649
0.599035 0.610299 0.265183
0.600958 0.611593 0.257953
0.620508 0.608994 0.260395
0.647696 0.602252 0.251044
0.666025 0.605946 0.26362
